Front,Back
Guiding principles of judo,jita kyoei and seiroyku zenyo
jita kyoei and seiroyku zenyo,Guiding principles of judo
Jita kyoei,mutual benefit and welfare
mutual benefit and welfare,Jita kyoei
Seiroyku zenyo,maximum efficiency
maximum efficiency,Seiroyku zenyo
Tachi waza,standing techniques
standing techniques,Tachi waza
Kumi kata,gripping strategy
gripping strategy,Kumi kata
Ai-yotsu,same side grip
same side grip,Ai-yotsu
Kenka-yotsu,opposite side grip
opposite side grip,Kenka-yotsu
Nage waza,throwing techniques
throwing techniques,Nage waza
Ashi waza,foot/leg techniques
foot/leg techniques,Ashi waza
De ashi barai,forward foot sweep
forward foot sweep,De ashi barai
Hiza guruma,knee wheel
knee wheel,Hiza guruma
Sasae tsuri komi ashi,propping and drawing ankle throw
propping and drawing ankle throw,Sasae tsuri komi ashi
Osoto gari,major outside reaping throw
major outside reaping throw,Osoto gari
Ouchi gari,major inner reaping throw
major inner reaping throw,Ouchi gari
Te waza,hand techniques
hand techniques,Te waza
Seoi nage,shoulder throw
shoulder throw,Seoi nage
Most scored throw in competition,seoi nage
seoi nage,Most scored throw in competition
Good transition throw into seoi or uchi mata,ouchi gari
ouchi gari,Good transition throw into seoi or uchi mata
Koshi waza,hip techniques
hip techniques,Koshi waza
Uki goshi,half hip throw
half hip throw,Uki goshi
O goshi,major hip throw
major hip throw,O goshi
Bogyo,throw defense
throw defense,Bogyo
Defense against o goshi,inside leg jump around
inside leg jump around,Defense against o goshi
Defense against seoi,outside leg jump around
outside leg jump around,Defense against seoi
Defense against Osoto gari,step away
step away,Defense against Osoto gari
Katame waza,grappling techniques
grappling techniques,Katame waza
Osaekomi waza,holding techniques
holding techniques,Osaekomi waza
Shime waza,choke techniques
choke techniques,Shime waza
Kansetsu waza,joint lock techniques
joint lock techniques,Kansetsu waza
Escapes from kesa and yoko,"trap the leg, bridge and roll, and back door escape"
"trap the leg, bridge and roll, and back door escape",Escapes from kesa and yoko
Escape from kami,leg swing to half guard
leg swing to half guard,Escape from kami
Hadaka jime,naked choke
naked choke,Hadaka jime
Nami juji jime,normal cross choke
normal cross choke,Nami juji jime
Kata juji jime,half cross choke
half cross choke,Kata juji jime
Hairi waza,transition techniques into matwork
transition techniques into matwork,Hairi waza
Uke is flat facedown techniques,"double hand belt pull, crab ride, kami shiho gatame"
"double hand belt pull, crab ride, kami shiho gatame",Uke is flat facedown techniques
Kami shiho gatam drill,"kami shiho gatame, kuzure kami shiho gatame, kata jime"
"kami shiho gatame, kuzure kami shiho gatame, kata jime",Kami shiho gatam drill
Side approach techniques,power half nelson and chicken wing
power half nelson and chicken wing,Side approach techniques
Attack the turtle techniques,"arm inside series/cross face turnover, far lapel turn to kata gatame"
"arm inside series/cross face turnover, far lapel turn to kata gatame",Attack the turtle techniques
Guard passes and attacks from guard,"pants ankle pull pass, knee slicer, shuck the leg, hug the leg and split the leg half guard escapes"
"pants ankle pull pass, knee slicer, shuck the leg, hug the leg and split the leg half guard escapes",Guard passes and attacks from guard
Newaza skills and drills,"uki gatame floating drill, knee on belly, side to side knee on belly drill"
"uki gatame floating drill, knee on belly, side to side knee on belly drill",Newaza skills and drills
Ukemi waza,falling techniques
falling techniques,Ukemi waza
Zempo kaiten ukemi,forward rolling fall
forward rolling fall,Zempo kaiten ukemi
Yoko ukemi,side fall
side fall,Yoko ukemi
Koho ukemi,back fall
back fall,Koho ukemi
Mae ukemi,forward fall on the forearms
forward fall on the forearms,Mae ukemi
Tsugi ashi,following foot walking
following foot walking,Tsugi ashi
Ayumi ashi,normal walking
normal walking,Ayumi ashi
Tai sabaki,right and left
right and left,Tai sabaki
Kiyotsuke,attention!
attention!,Kiyotsuke
Rei,bow
bow,Rei
Hajime,begin
begin,Hajime
Matte,stop
stop,Matte
Dojo,practice hall for judo
practice hall for judo,Dojo
Sensei,teacher
teacher,Sensei
Seiza,sitting in the kneeling position
sitting in the kneeling position,Seiza
Anza,sitting cross legged
sitting cross legged,Anza
Judogi/gi,judo uniform
judo uniform,Judogi/gi
Judoka,judo practitioner or player
judo practitioner or player,Judoka
Kata,formal prearranged routine practice
formal prearranged routine practice,Kata
Shiai,tournament
tournament,Shiai
Tatami,judo mats (straw)
judo mats (straw),Tatami
Osaekomi,hold down
hold down,Osaekomi
Toketa,hold broken
hold broken,Toketa
Ippon,one point
one point,Ippon
Wazari,almost ippon (half a point)
almost ippon (half a point),Wazari
Sore made,that is all
that is all,Sore made
Rokyu,sixth class (kyu) judo rank (white belt)
sixth class (kyu) judo rank (white belt),Rokyu
Gokyu,fifth class (kyu) judo rank (yellow belt)
fifth class (kyu) judo rank (yellow belt),Gokyu
Tori,person performing technique
person performing technique,Tori
Uke,person receiving technique
person receiving technique,Uke
Hidari,left
left,Hidari
Migi,right
right,Migi
Hai,yes
yes,Hai
Randori,free practice
free practice,Randori
Onegai shimasu,please
please,Onegai shimasu
Domo arigato,thank you
thank you,Domo arigato
What is the name of your judo organization,USA judo
USA judo,What is the name of your judo organization
Who was the founder of judo,dr. Jigoro kano
dr. Jigoro kano,Who was the founder of judo
What is the name of the school he founded,the kodokan
the kodokan,What is the name of the school he founded
What is the date of the founding of kodokan judo,1882
1882,What is the date of the founding of kodokan judo
What was unarmed combat called in Japan before judo,jujitsu
jujitsu,What was unarmed combat called in Japan before judo
How long has unarmed combat martial arts been practiced in Japan,about 600 to 1000 years
about 600 to 1000 years,How long has unarmed combat martial arts been practiced in Japan
One through ten in Japanese,"ichi, ni, san, shi, go, roku, shichi, hachi, ku, ju"
"ichi, ni, san, shi, go, roku, shichi, hachi, ku, ju",One through ten in Japanese
One,ichi
ichi,One
Two,ni
ni,Two
Three,san
san,Three
Four,shi
shi,Four
Five,go
go,Five
Six,roku
roku,Six
Seven,shichi
shichi,Seven
Eight,hachi
hachi,Eight
Nine,ku
ku,Nine
Ten,ju
ju,Ten
Name the three parts of unarmed combat in English and Japanese,"throwing techniques (nage waza), grappling techniques (katame waza), and striking techniques (atemi waza)"
"throwing techniques (nage waza), grappling techniques (katame waza), and striking techniques (atemi waza)",Name the three parts of unarmed combat in English and Japanese
Name the three parts of a judo throw in English and Japanese,"off balance (kuzushi), entry (tsukuri), completion (kake)"
"off balance (kuzushi), entry (tsukuri), completion (kake)",Name the three parts of a judo throw in English and Japanese
List the adult belt ranks in order by color,"white, yellow, orange, green, blue, brown, black (10 degrees)"
"white, yellow, orange, green, blue, brown, black (10 degrees)",List the adult belt ranks in order by color
Kesa-gatame,Scarf hold
Scarf hold,Kesa-gatame
Kata-gatame,Shoulder hold
Shoulder hold,Kata-gatame
Kami-shiho-gatame,Upper four quarter hold down
Upper four quarter hold down,Kami-shiho-gatame
Kuzure-kami-shiho-gatame,Broken upper four quarter hold down
Broken upper four quarter hold down,Kuzure-kami-shiho-gatame
Yoko-shiho-gatame,Side four quarter hold
Side four quarter hold,Yoko-shiho-gatame